transaction_id,amount,timestamp,status,vendor_id
tx_1,452.57,2022-06-26 22:18:55,rejected,91
tx_2,879.04,2023-01-10 15:28:24,accepted,48
tx_3,160.57,2022-08-06 15:52:26,accepted,39
tx_4,482.24,2022-12-21 23:33:39,rejected,90
tx_5,138.69,2023-06-09 23:21:01,submitted,49
tx_6,985.96,2022-05-02 18:04:03,accepted,20
tx_7,596.27,2023-06-17 02:08:36,rejected,4
tx_8,830.53,2022-01-24 08:27:45,rejected,2
tx_9,192.81,2022-07-21 14:13:36,accepted,34
tx_10,256.27,2022-01-16 16:10:53,accepted,51
tx_11,318.62,2022-02-24 02:52:33,submitted,86
tx_12,611.55,2022-08-07 10:55:29,accepted,57
tx_13,733.2,2022-07-13 06:30:26,rejected,97
tx_14,110.01,2023-06-12 23:19:49,rejected,48
tx_15,778.89,2023-01-20 00:41:08,submitted,90
tx_16,513.05,2023-11-26 03:35:35,rejected,30
tx_17,196.44,2022-06-22 17:17:43,submitted,92
tx_18,498.59,2023-12-06 22:22:20,rejected,20
tx_19,706.75,2023-03-01 12:50:44,accepted,59
tx_20,511.72,2022-10-22 09:38:55,submitted,49
